,Relastic,Investigative,Artistic,social,Enterprising,conventional,temp
563,4,4,5,6,5,5,563
564,6,3,6,6,7,5,564
565,5,6,4,7,5,6,565
566,6,5,5,7,5,7,566
567,6,6,7,7,7,6,567
568,4,3,5,6,4,5,568
569,5,2,7,7,7,5,569
570,6,4,2,6,4,4,570
571,5,6,3,6,6,4,571
572,5,5,7,6,6,1,572
573,6,4,1,7,4,7,573
574,3,5,2,6,7,7,574
575,6,6,6,5,5,6,575
576,6,6,5,6,4,7,576
577,6,2,5,7,5,4,577
578,6,6,6,7,5,7,578
579,5,5,7,4,3,4,579
580,4,5,7,4,4,4,580
581,6,6,7,7,7,7,581
582,6,6,5,6,6,4,582
583,4,6,1,6,6,4,583
584,5,5,6,7,6,5,584
585,6,6,7,7,7,7,585
586,6,6,6,6,7,5,586
587,5,6,6,7,6,7,587
588,3,3,3,6,4,5,588
589,6,6,5,7,4,4,589
590,5,6,6,5,6,5,590
591,5,6,6,6,4,6,591
592,5,6,2,7,4,7,592
593,5,5,6,7,4,7,593
594,4,6,6,7,5,4,594
595,4,3,7,5,2,5,595
596,6,6,7,7,7,7,596
597,6,6,7,7,7,6,597
598,3,6,4,5,5,6,598
599,6,6,7,7,5,7,599
600,5,5,4,5,5,7,600
601,5,3,3,6,2,4,601
602,5,4,5,6,6,5,602
603,6,6,7,7,7,7,603
604,2,4,6,6,1,5,604
605,4,4,5,5,4,6,605
606,4,6,4,6,7,6,606
607,2,6,4,4,2,6,607
608,2,5,6,5,6,6,608
609,6,5,5,5,6,5,609
610,5,4,4,7,5,5,610
611,6,6,7,6,5,7,611
612,6,6,5,4,4,7,612
613,4,3,3,7,5,4,613
614,5,5,2,6,4,6,614
615,5,4,1,3,4,4,615
616,6,6,5,7,6,6,616
617,5,6,6,7,4,2,617
618,6,5,6,7,7,5,618
619,5,3,4,5,3,4,619
620,6,4,4,6,4,7,620
621,6,6,7,7,6,6,621
622,6,6,6,7,6,4,622
623,5,5,4,5,7,4,623
624,6,5,6,7,4,6,624
625,6,4,5,7,6,7,625
626,4,3,5,7,3,5,626
627,5,6,3,5,7,6,627
628,5,6,3,6,6,7,628
629,6,5,7,6,6,6,629
630,6,6,7,7,7,7,630
631,5,6,5,7,5,7,631
632,4,6,4,5,3,4,632
633,6,5,5,7,4,5,633
634,5,3,3,4,7,3,634
635,6,5,3,7,2,6,635
636,5,6,6,7,5,6,636
637,3,3,3,5,2,3,637
638,5,4,2,4,1,4,638
639,6,6,7,7,6,5,639
640,6,5,2,5,6,2,640
641,6,6,4,5,6,6,641
642,6,4,5,7,5,4,642
643,5,6,5,7,7,6,643
644,6,5,6,7,6,7,644
645,5,6,6,7,4,5,645
646,5,5,6,6,3,5,646
647,5,4,6,6,6,6,647
648,5,5,4,6,4,6,648
649,5,6,7,6,6,3,649
650,5,5,7,7,7,7,650
651,5,4,5,6,6,6,651
652,6,6,4,6,5,6,652
653,5,2,7,5,6,7,653
654,5,4,2,6,5,6,654
655,6,5,5,7,4,6,655
656,6,5,6,6,4,7,656
657,4,5,6,6,6,5,657
658,6,3,5,7,5,4,658
659,3,4,2,7,5,7,659
660,4,5,7,7,5,5,660
661,6,6,4,6,4,7,661
662,5,5,6,7,5,6,662
663,6,6,7,7,5,7,663
664,6,4,7,6,6,3,664
665,4,6,6,6,4,5,665
666,6,6,6,7,7,7,666
667,4,5,7,6,6,6,667
668,5,6,6,7,5,7,668
669,4,5,6,6,4,7,669
670,4,6,5,6,5,4,670
671,6,5,0,6,4,4,671
672,5,5,3,6,4,7,672
673,6,5,3,7,5,7,673
674,6,6,5,7,6,6,674
675,6,6,5,7,6,7,675
676,3,5,6,7,6,7,676
677,6,5,4,7,4,7,677
678,4,5,6,5,6,6,678
679,5,6,6,7,7,7,679
680,3,5,6,5,4,4,680
681,5,5,6,6,4,3,681
682,6,5,4,5,6,6,682
683,5,3,6,6,2,7,683
684,5,5,7,6,5,3,684
685,4,6,5,6,3,7,685
686,5,6,2,7,4,7,686
687,4,2,4,3,4,0,687
688,4,5,7,7,7,7,688
689,5,4,5,6,6,7,689
690,3,6,6,7,4,4,690
691,4,5,3,6,3,5,691
692,6,5,5,6,3,5,692
693,3,4,4,5,3,3,693
694,4,5,7,7,3,6,694
695,4,6,6,7,6,6,695
696,5,6,7,7,6,7,696
697,4,5,6,7,5,5,697
698,6,6,3,6,6,7,698
699,5,4,5,7,6,6,699
700,6,6,7,7,6,6,700
701,6,6,7,7,4,6,701
702,6,6,7,7,7,7,702
703,4,5,3,2,1,1,703
704,5,5,5,6,5,6,704
705,5,4,6,5,4,7,705
706,5,4,5,7,5,6,706
707,6,5,6,7,5,5,707
708,5,6,7,7,5,5,708
709,5,5,4,1,1,1,709
710,5,6,7,7,5,6,710
711,5,6,7,7,5,5,711
712,4,3,5,6,7,4,712
713,5,6,4,4,7,7,713
714,6,5,6,7,2,4,714
715,5,5,4,7,7,7,715
716,5,5,6,5,5,7,716
717,6,6,5,7,6,6,717
718,4,5,4,5,4,5,718
719,6,6,6,5,4,6,719
720,6,6,7,7,7,7,720
721,4,6,6,7,3,4,721
722,4,2,7,6,6,6,722
723,5,4,5,7,4,6,723
724,1,5,4,3,3,3,724
725,5,5,6,6,6,6,725
726,4,5,1,6,5,5,726
727,5,6,7,7,5,6,727
728,5,6,7,7,5,6,728
729,3,3,5,4,4,3,729
730,6,6,5,7,4,4,730
731,3,4,3,5,6,5,731
732,4,6,6,5,6,6,732
733,4,6,4,6,6,6,733
734,6,5,6,6,6,6,734
735,4,5,4,7,6,5,735
736,5,6,7,6,6,7,736
737,5,4,4,3,3,5,737
738,6,4,3,5,4,3,738
739,6,6,6,7,7,7,739
740,5,6,5,7,6,5,740
741,5,4,6,7,5,5,741
742,5,5,5,7,4,5,742
743,6,6,5,6,7,7,743
744,3,3,1,4,6,4,744
745,4,2,3,6,6,7,745
746,6,6,5,7,5,7,746
747,6,4,7,7,5,6,747
748,3,2,4,6,2,4,748
749,6,6,7,7,6,7,749
750,6,6,5,7,5,6,750
751,4,4,3,5,4,3,751
752,5,6,3,6,4,6,752
753,5,5,6,7,6,7,753
754,4,6,3,6,6,7,754
755,6,3,6,4,5,3,755
756,5,4,4,4,6,6,756
757,6,6,4,6,5,7,757
758,4,6,4,7,2,3,758
759,6,6,6,7,7,5,759
760,5,6,7,7,7,7,760
761,6,6,7,7,7,7,761
762,5,5,4,7,4,7,762
763,5,6,6,6,6,4,763
764,6,6,5,6,6,6,764
765,5,6,7,7,4,6,765
766,6,6,7,7,7,7,766
767,4,6,4,7,6,7,767
768,5,6,6,6,3,3,768
769,6,6,7,7,7,6,769
770,5,5,4,6,5,7,770
771,5,6,3,7,5,6,771
772,5,3,7,6,7,3,772
773,6,6,7,6,6,6,773
774,5,3,6,3,5,6,774
775,3,5,5,6,4,6,775
776,6,6,7,7,7,6,776
777,6,5,4,3,5,6,777
778,4,5,6,7,7,7,778
779,5,6,5,6,7,5,779
780,5,6,1,5,4,6,780
781,5,3,4,6,5,4,781
782,5,6,7,7,6,6,782
783,5,4,6,5,4,7,783
784,6,4,7,7,5,6,784
785,6,6,4,7,6,7,785
786,6,6,7,7,5,7,786
787,6,6,6,7,5,6,787
788,4,3,5,4,3,3,788
789,6,4,6,6,4,3,789
790,5,6,6,7,4,6,790
791,4,3,5,5,3,6,791
792,6,5,6,5,4,5,792
793,5,6,7,7,7,7,793
794,6,6,4,6,7,6,794
795,5,6,7,7,5,7,795
796,6,5,5,7,7,7,796
797,6,4,6,7,6,7,797
798,6,6,3,6,5,7,798
799,4,3,6,6,3,6,799
800,6,6,6,7,7,7,800
801,5,4,7,7,5,7,801
802,5,6,6,7,6,6,802
803,5,6,6,7,6,6,803
804,6,5,4,6,3,7,804
805,5,5,6,6,3,6,805
806,5,6,7,7,5,5,806
807,6,6,7,7,7,7,807
808,5,5,7,6,6,7,808
809,4,5,3,5,4,4,809
810,5,5,7,7,5,6,810
811,4,5,2,5,6,6,811
812,6,6,7,5,5,4,812
813,3,6,6,6,6,7,813
814,2,4,6,6,5,5,814
815,5,5,7,6,4,5,815
816,4,4,7,6,6,6,816
817,6,6,7,7,7,7,817
818,5,1,3,6,4,6,818
819,5,5,7,7,4,7,819
820,4,4,4,5,3,6,820
821,4,2,6,5,3,4,821
822,4,2,6,4,4,4,822
823,4,5,7,3,5,3,823
824,6,6,7,7,7,7,824
825,4,2,4,6,5,3,825
826,5,5,6,6,2,4,826
827,5,4,4,5,5,4,827
828,6,6,5,7,6,7,828
829,6,5,7,6,7,7,829
830,5,6,5,7,7,7,830
831,5,6,6,7,7,7,831
832,3,6,5,5,5,6,832
833,6,3,5,7,7,3,833
834,5,6,7,6,5,7,834
835,4,3,5,3,5,2,835
836,6,6,4,6,6,6,836
837,5,6,7,7,5,7,837
838,5,2,4,5,6,4,838
839,4,6,5,7,6,7,839
840,6,6,7,7,7,7,840
841,3,4,2,3,3,2,841
842,5,5,4,7,4,5,842
843,6,1,3,7,5,4,843
844,5,6,6,6,7,7,844
845,5,1,6,5,1,2,845
846,6,5,6,7,6,4,846
847,4,4,3,5,5,6,847
848,5,6,4,6,5,6,848
849,4,5,7,5,1,6,849
850,4,4,4,6,3,6,850
851,4,6,4,7,6,7,851
852,4,4,6,6,5,6,852
853,6,6,6,7,6,7,853
854,6,6,4,5,3,7,854
855,5,6,5,6,5,6,855
856,5,6,6,7,6,6,856
857,6,5,7,6,7,4,857
858,6,5,3,7,4,6,858
859,6,6,7,7,7,7,859
860,4,6,6,7,5,7,860
861,6,5,6,7,7,6,861
862,6,6,7,7,6,7,862
863,6,4,7,7,6,7,863
864,5,6,6,7,4,4,864
865,4,4,5,5,3,6,865
866,6,6,6,7,6,6,866
867,4,6,6,4,5,3,867
